,milk,Egg,Peanut,Fish,Wheat,shellfish,nuts
chicken curry,0,0,0,0,0,0,0
chicken wings,0,0,0,0,0,0,0
chocolate cake,1,1,0,0,1,0,0
cup cake,1,1,0,0,1,0,0
donuts,1,1,0,0,1,0,0
dumplings,1,1,0,1,1,0,0
fries,0,0,0,0,0,0,0
fried rice,1,1,0,0,0,0,0
garlic bread,1,0,0,0,1,0,0
hamburger,1,1,0,1,1,0,0
hotdog,0,1,0,0,1,0,0
Ice-Cream,1,0,0,0,1,0,0
Omelette,0,1,0,0,0,0,0
pizza,1,0,0,0,1,0,0
samosa,0,0,0,0,1,0,0
sandwich,1,1,0,0,1,0,0
soup,0,0,0,0,0,0,0
spring rolls,0,1,0,0,1,0,0
sushi,0,1,0,1,0,0,0
waffle,1,1,0,0,1,0,0
